selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
5.15,2018,17000,20.51,998,67,4,0,0,0,1,0,1,0
5.1,2014,100000,15.96,2523,62.1,8,1,0,0,0,1,0,1
16.95,2017,167000,13.68,2393,147.8,5,1,0,0,0,1,0,1
2.25,2009,56109,19,998,66.1,13,0,0,0,1,1,1,0
4.5,2014,132220,20.14,1498,88.8,8,1,0,0,0,1,1,0
9.5,2019,12000,24.3,1248,88.5,3,1,0,0,0,1,1,0
2,2013,48000,22.74,796,47.3,9,0,0,0,1,1,1,0
15.45,2014,64000,17.11,1968,174.33,8,1,0,0,0,0,1,0
2.17,2010,100000,17.8,1248,75,12,1,0,0,0,1,1,0
6.95,2016,49000,18.6,1197,81.83,6,0,0,0,1,1,1,0
5.65,2011,58000,11.7,2354,177.6,11,0,0,0,1,0,1,0
3.5,2012,200000,17.6,1496,88.73,10,0,0,0,1,1,1,0
